AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,1857530,0.4,1000,1,19.66,40890,0.5,8.3,9.72,14.83,23.95,36.04,17260,20220,30850,49810,74950,,
02,AK,Alaska,00-0000,All Occupations,total,324970,1.4,1000,1,25.98,54040,1.3,10.36,14.43,21.73,33.14,45.57,21560,30010,45200,68930,94790,,
04,AZ,Arizona,00-0000,All Occupations,total,2526990,0.8,1000,1,21.43,44580,0.8,8.83,10.9,16.46,26.06,40.17,18360,22680,34230,54200,83550,,
05,AR,Arkansas,00-0000,All Occupations,total,1158790,0.7,1000,1,18.24,37940,1.3,8.23,9.49,14.01,21.66,32.55,17120,19740,29140,45050,67700,,
06,CA,California,00-0000,All Occupations,total,15119730,0.3,1000,1,25.91,53890,0.4,9.15,11.68,18.84,32.79,51.68,19040,24290,39190,68190,107490,,
08,CO,Colorado,00-0000,All Occupations,total,2367780,0.4,1000,1,23.97,49860,0.6,9.07,11.86,18.28,29.33,45.31,18860,24660,38020,61020,94250,,
09,CT,Connecticut,00-0000,All Occupations,total,1646510,0.5,1000,1,26.47,55060,0.9,9.45,12.89,20.67,33.16,48.08,19660,26810,42990,68970,100000,,
10,DE,Delaware,00-0000,All Occupations,total,424330,1.3,1000,1,23.81,49520,1.2,8.98,11.63,18.03,29.31,44.82,18670,24190,37490,60960,93220,,
11,DC,District of Columbia,00-0000,All Occupations,total,674650,0.6,1000,1,37.78,78580,6.9,11.42,18,31.2,51.09,72.11,23760,37440,64890,106270,150000,,
12,FL,Florida,00-0000,All Occupations,total,7665280,0.3,1000,1,20.11,41820,0.4,8.69,10.22,14.93,23.63,36.56,18080,21260,31060,49140,76040,,
13,GA,Georgia,00-0000,All Occupations,total,3983250,0.4,1000,1,21.48,44670,0.6,8.4,10.22,15.79,26.12,40.57,17470,21260,32840,54340,84370,,
15,HI,Hawaii,00-0000,All Occupations,total,612580,0.9,1000,1,22.23,46230,2.1,9.03,12.19,18.01,27.37,40.44,18780,25350,37450,56930,84120,,
16,ID,Idaho,00-0000,All Occupations,total,628140,0.9,1000,1,19.12,39770,1,8.43,10.22,14.93,22.85,34.5,17540,21260,31060,47520,71770,,
17,IL,Illinois,00-0000,All Occupations,total,5765880,0.3,1000,1,23.45,48780,0.6,9.08,11.03,17.59,29.47,44.63,18880,22940,36590,61290,92830,,
18,IN,Indiana,00-0000,All Occupations,total,2905170,0.6,1000,1,19.94,41470,0.5,8.49,10.44,15.63,24.12,35.73,17650,21720,32500,50160,74310,,
