AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
19,IA,Iowa,00-0000,All Occupations,total,1512740,0.9,1000,1,19.77,41120,0.9,8.62,10.86,15.91,23.74,34.78,17930,22590,33100,49380,72330,,
20,KS,Kansas,00-0000,All Occupations,total,1359500,0.6,1000,1,20.2,42020,0.6,8.58,10.69,15.83,24.27,36.14,17840,22240,32930,50480,75180,,
21,KY,Kentucky,00-0000,All Occupations,total,1808010,0.6,1000,1,19.25,40040,0.5,8.44,10.3,15.3,23.45,34.13,17560,21420,31830,48780,71000,,
22,LA,Louisiana,00-0000,All Occupations,total,1915800,0.4,1000,1,19.32,40190,0.5,8.32,9.87,15.2,23.45,34.59,17310,20520,31620,48780,71940,,
23,ME,Maine,00-0000,All Occupations,total,586390,0.7,1000,1,20.26,42140,1,8.92,11.27,16.29,24.37,35.25,18560,23440,33890,50700,73320,,
24,MD,Maryland,00-0000,All Occupations,total,2557510,0.7,1000,1,25.7,53470,1.9,8.86,12.09,19.63,32.58,50.43,18420,25150,40830,67770,104900,,
25,MA,Massachusetts,00-0000,All Occupations,total,3322500,0.5,1000,1,27.7,57610,0.5,9.69,13.46,21.48,34.75,52.88,20150,27990,44670,72280,109990,,
26,MI,Michigan,00-0000,All Occupations,total,4073730,0.6,1000,1,21.7,45140,0.7,8.68,10.88,16.7,27.13,40.24,18050,22640,34740,56440,83700,,
27,MN,Minnesota,00-0000,All Occupations,total,2730020,0.5,1000,1,23.23,48310,0.8,8.98,11.89,18.3,28.72,43.26,18680,24730,38070,59740,89980,,
28,MS,Mississippi,00-0000,All Occupations,total,1094070,0.6,1000,1,17.67,36750,0.7,8.22,9.41,13.76,21.16,30.91,17100,19580,28630,44020,64290,,
29,MO,Missouri,00-0000,All Occupations,total,2673640,0.5,1000,1,20.57,42790,0.6,8.5,10.39,15.76,25.2,37.69,17690,21620,32790,52420,78380,,
30,MT,Montana,00-0000,All Occupations,total,443330,0.7,1000,1,19.17,39880,0.7,8.77,10.5,15.15,23.35,34.02,18250,21850,31520,48560,70770,,
31,NE,Nebraska,00-0000,All Occupations,total,942950,0.8,1000,1,19.75,41080,0.7,8.61,10.77,15.66,23.79,35.2,17900,22410,32570,49480,73220,,
32,NV,Nevada,00-0000,All Occupations,total,1189610,0.8,1000,1,20.34,42310,0.7,8.62,10.92,16.13,24.65,36.76,17930,22710,33550,51280,76460,,
33,NH,New Hampshire,00-0000,All Occupations,total,627000,0.7,1000,1,22.63,47060,0.9,8.98,11.69,17.51,27.31,41.3,18680,24320,36420,56800,85910,,
34,NJ,New Jersey,00-0000,All Occupations,total,3869260,0.5,1000,1,25.92,53920,0.4,9.2,12.01,19.56,32.88,49.29,19150,24990,40680,68390,102530,,
35,NM,New Mexico,00-0000,All Occupations,total,788000,1,1000,1,20.31,42230,1.6,8.55,10.18,15.29,25,37.86,17770,21170,31810,52000,78750,,
36,NY,New York,00-0000,All Occupations,total,8810950,0.3,1000,1,26.75,55630,0.6,9.08,12.01,19.65,33.2,51.88,18880,24990,40870,69060,107920,,
37,NC,North Carolina,00-0000,All Occupations,total,4030880,0.3,1000,1,20.81,43280,0.6,8.46,10.39,15.63,24.45,38.23,17600,21610,32510,50850,79520,,
38,ND,North Dakota,00-0000,All Occupations,total,440420,0.9,1000,1,21.2,44100,0.7,9.34,12.46,17.75,25.79,35.98,19430,25910,36920,53640,74830,,
39,OH,Ohio,00-0000,All Occupations,total,5200880,0.5,1000,1,21.11,43900,0.4,8.77,10.65,16.47,26.17,37.64,18240,22150,34250,54430,78290,,
40,OK,Oklahoma,00-0000,All Occupations,total,1577330,0.7,1000,1,19.64,40850,1,8.42,10.19,15.17,23.22,35.25,17510,21190,31550,48290,73330,,
41,OR,Oregon,00-0000,All Occupations,total,1683470,0.7,1000,1,22.53,46850,0.9,9.47,11.7,17.5,27.5,41.64,19690,24330,36400,57200,86610,,
42,PA,Pennsylvania,00-0000,All Occupations,total,5653840,0.4,1000,1,22,45750,0.4,8.75,11.26,17.13,26.98,40.39,18200,23420,35640,56110,84010,,
44,RI,Rhode Island,00-0000,All Occupations,total,463930,0.9,1000,1,23.83,49570,1.1,9.03,11.87,18.43,29.8,44.45,18790,24690,38330,61970,92450,,
45,SC,South Carolina,00-0000,All Occupations,total,1876480,0.5,1000,1,19.03,39570,0.5,8.32,9.81,14.74,23.02,34.46,17300,20400,30660,47880,71680,,
46,SD,South Dakota,00-0000,All Occupations,total,409250,0.4,1000,1,17.93,37300,0.7,8.66,10.59,14.36,20.95,30.26,18010,22030,29880,43580,62950,,
47,TN,Tennessee,00-0000,All Occupations,total,2749480,0.6,1000,1,19.55,40650,0.6,8.43,10.26,15.02,23.28,35.12,17520,21330,31250,48430,73050,,
48,TX,Texas,00-0000,All Occupations,total,11228940,0.3,1000,1,21.79,45330,0.4,8.45,10.36,16.18,26.53,41.42,17570,21550,33650,55190,86160,,
49,UT,Utah,00-0000,All Occupations,total,1280660,0.6,1000,1,20.94,43550,1,8.71,10.97,16.2,25.64,38.42,18110,22820,33690,53330,79910,,
50,VT,Vermont,00-0000,All Occupations,total,301050,1.1,1000,1,21.41,44540,0.9,9.75,12.28,17.39,25.85,36.74,20280,25550,36170,53780,76420,,
51,VA,Virginia,00-0000,All Occupations,total,3648490,0.4,1000,1,24.4,50750,0.6,8.73,11.36,18.05,30.03,48.88,18160,23640,37550,62470,101660,,
53,WA,Washington,00-0000,All Occupations,total,2898350,0.5,1000,1,25.26,52540,1.9,10.18,13.06,19.76,31.79,47.44,21180,27160,41090,66120,98670,,
54,WV,West Virginia,00-0000,All Occupations,total,707720,0.9,1000,1,18.21,37880,0.6,8.24,9.5,14.14,22.5,32.67,17140,19750,29410,46790,67950,,
55,WI,Wisconsin,00-0000,All Occupations,total,2727860,0.5,1000,1,20.62,42880,0.5,8.66,11.04,16.52,25.26,36.53,18020,22970,34350,52530,75980,,
56,WY,Wyoming,00-0000,All Occupations,total,282690,0.7,1000,1,21.6,44930,0.6,9.05,12.22,18.16,27.45,36.7,18830,25410,37770,57090,76330,,
66,GU,Guam,00-0000,All Occupations,total,59900,1,1000,1,16,33280,2.2,8.01,8.87,12.37,18.93,28.72,16660,18450,25730,39370,59740,,
72,PR,Puerto Rico,00-0000,All Occupations,total,902930,0.5,1000,1,13.23,27510,1.2,7.82,8.41,9.42,14.6,22.73,16270,17490,19590,30380,47270,,
78,VI,Virgin Islands,00-0000,All Occupations,total,38060,2.4,1000,1,16.81,34960,1.6,8.27,9.56,13.36,20.26,29.28,17200,19890,27780,42130,60900,,
