AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,1844080,0.4,1000,1,19.35,40240,0.5,8.27,9.62,14.61,23.64,35.4,17200,20010,30390,49180,73620,,
02,AK,Alaska,00-0000,All Occupations,total,322660,1.4,1000,1,25.53,53110,1.4,10.12,14.15,21.32,32.53,44.63,21050,29420,44350,67660,92820,,
04,AZ,Arizona,00-0000,All Occupations,total,2475660,0.7,1000,1,21.33,44370,0.8,8.76,10.87,16.43,25.91,40.08,18220,22610,34170,53900,83360,,
05,AR,Arkansas,00-0000,All Occupations,total,1152600,0.7,1000,1,17.95,37340,1.1,8.21,9.43,13.9,21.28,31.93,17070,19620,28910,44250,66410,,
06,CA,California,00-0000,All Occupations,total,14714530,0.3,1000,1,25.49,53030,0.4,9.08,11.55,18.71,32.41,50.58,18890,24030,38920,67410,105210,,
08,CO,Colorado,00-0000,All Occupations,total,2295000,0.4,1000,1,23.53,48950,0.5,8.96,11.68,18.04,28.94,44.3,18630,24300,37530,60200,92150,,
09,CT,Connecticut,00-0000,All Occupations,total,1635590,0.5,1000,1,26.16,54410,1,9.36,12.69,20.33,32.86,47.39,19480,26400,42280,68340,98580,,
10,DE,Delaware,00-0000,All Occupations,total,412140,1.2,1000,1,23.68,49260,1.7,8.85,11.55,17.94,29.1,44.55,18400,24010,37320,60530,92650,,
11,DC,District of Columbia,00-0000,All Occupations,total,665850,0.6,1000,1,37.04,77040,7.1,11.55,18.08,30.62,49.98,70.1,24030,37620,63680,103950,145800,,
12,FL,Florida,00-0000,All Occupations,total,7453230,0.3,1000,1,19.78,41140,0.4,8.59,10.09,14.74,23.19,35.92,17870,20990,30660,48240,74720,,
13,GA,Georgia,00-0000,All Occupations,total,3879660,0.3,1000,1,21.17,44040,0.5,8.38,10.12,15.63,25.83,39.95,17420,21050,32510,53730,83090,,
15,HI,Hawaii,00-0000,All Occupations,total,602200,1,1000,1,21.84,45420,2,8.97,11.98,17.75,27,39.61,18660,24910,36910,56150,82390,,
16,ID,Idaho,00-0000,All Occupations,total,613000,0.8,1000,1,18.67,38840,1,8.36,10.01,14.68,22.5,33.87,17400,20810,30540,46790,70440,,
17,IL,Illinois,00-0000,All Occupations,total,5704700,0.5,1000,1,22.92,47680,0.6,9.05,10.9,17.18,28.72,43.46,18820,22670,35720,59740,90400,,
18,IN,Indiana,00-0000,All Occupations,total,2854250,0.6,1000,1,19.61,40780,0.5,8.45,10.33,15.38,23.78,35.17,17570,21490,31990,49470,73140,,
19,IA,Iowa,00-0000,All Occupations,total,1491600,0.9,1000,1,19.35,40240,0.9,8.53,10.6,15.57,23.21,34.03,17750,22040,32380,48280,70790,,
20,KS,Kansas,00-0000,All Occupations,total,1336460,1,1000,1,19.83,41240,0.7,8.5,10.46,15.44,24.01,35.59,17690,21760,32110,49940,74030,,
21,KY,Kentucky,00-0000,All Occupations,total,1782820,0.6,1000,1,19,39520,0.6,8.4,10.14,15.01,23.08,33.81,17470,21090,31220,48000,70320,,
22,LA,Louisiana,00-0000,All Occupations,total,1885310,0.4,1000,1,18.99,39510,0.4,8.31,9.84,15.03,23.1,34.02,17290,20470,31260,48050,70750,,
23,ME,Maine,00-0000,All Occupations,total,582430,0.6,1000,1,19.92,41440,1,8.87,11.13,16.06,23.91,34.72,18450,23150,33400,49740,72220,,
24,MD,Maryland,00-0000,All Occupations,total,2534480,0.5,1000,1,25.41,52850,0.5,8.82,11.97,19.57,32.3,49.68,18340,24910,40710,67180,103330,,
25,MA,Massachusetts,00-0000,All Occupations,total,3257870,0.4,1000,1,27.12,56410,0.5,9.6,13.32,21.07,34.02,51.51,19970,27700,43830,70750,107140,,
26,MI,Michigan,00-0000,All Occupations,total,3998790,0.4,1000,1,21.42,44540,0.6,8.68,10.89,16.67,26.88,39.36,18060,22650,34670,55910,81870,,
27,MN,Minnesota,00-0000,All Occupations,total,2688580,0.4,1000,1,22.77,47370,0.8,8.88,11.67,17.98,28.23,42.46,18480,24270,37390,58720,88320,,
28,MS,Mississippi,00-0000,All Occupations,total,1083560,0.6,1000,1,17.34,36070,0.6,8.19,9.34,13.57,20.7,30.37,17040,19420,28240,43060,63180,,
29,MO,Missouri,00-0000,All Occupations,total,2639120,0.5,1000,1,20.2,42020,0.6,8.43,10.27,15.55,24.78,36.79,17540,21350,32340,51540,76530,,
30,MT,Montana,00-0000,All Occupations,total,439110,0.8,1000,1,18.79,39090,0.8,8.65,10.3,14.79,22.85,33.32,18000,21420,30770,47530,69310,,
31,NE,Nebraska,00-0000,All Occupations,total,927150,0.7,1000,1,19.33,40210,0.6,8.53,10.6,15.31,23.24,34.47,17740,22050,31840,48340,71690,,
32,NV,Nevada,00-0000,All Occupations,total,1151970,0.8,1000,1,20.3,42220,0.7,8.57,10.83,16.03,24.69,36.6,17840,22530,33350,51350,76120,,
33,NH,New Hampshire,00-0000,All Occupations,total,620190,0.7,1000,1,22.22,46210,0.8,8.93,11.58,17.21,26.82,40.55,18570,24080,35800,55790,84340,,
34,NJ,New Jersey,00-0000,All Occupations,total,3821070,0.4,1000,1,25.39,52800,0.5,8.98,11.94,19.35,32.43,48.49,18680,24830,40250,67450,100860,,
35,NM,New Mexico,00-0000,All Occupations,total,783980,1,1000,1,19.94,41470,1.6,8.53,10.13,15.14,24.52,36.77,17750,21080,31490,50990,76480,,
36,NY,New York,00-0000,All Occupations,total,8635400,0.3,1000,1,26.24,54580,0.5,8.91,11.95,19.45,32.73,50.91,18530,24850,40460,68090,105900,,
37,NC,North Carolina,00-0000,All Occupations,total,3947030,0.3,1000,1,20.39,42420,0.4,8.44,10.33,15.46,24.02,37.17,17560,21480,32150,49960,77320,,
38,ND,North Dakota,00-0000,All Occupations,total,422930,1.2,1000,1,20.39,42410,0.6,9.01,11.85,17.14,24.81,34.73,18750,24640,35640,51590,72240,,
39,OH,Ohio,00-0000,All Occupations,total,5125850,0.4,1000,1,20.76,43170,0.4,8.67,10.48,16.22,25.72,37.04,18040,21800,33730,53490,77050,,
40,OK,Oklahoma,00-0000,All Occupations,total,1558860,0.9,1000,1,19.2,39940,0.6,8.37,9.99,14.77,22.7,34.5,17400,20790,30730,47230,71760,,
41,OR,Oregon,00-0000,All Occupations,total,1640300,0.8,1000,1,22.01,45780,0.8,9.37,11.55,17.24,26.91,40.46,19500,24020,35850,55980,84160,,
42,PA,Pennsylvania,00-0000,All Occupations,total,5616820,0.3,1000,1,21.77,45280,0.4,8.75,11.22,16.98,26.59,39.84,18210,23340,35320,55310,82870,,
44,RI,Rhode Island,00-0000,All Occupations,total,456100,1.1,1000,1,23.47,48820,1.1,8.93,11.7,18.03,29.34,43.78,18580,24330,37500,61030,91060,,
45,SC,South Carolina,00-0000,All Occupations,total,1826120,0.5,1000,1,18.75,38990,0.7,8.29,9.69,14.56,22.56,33.99,17240,20150,30280,46920,70700,,
46,SD,South Dakota,00-0000,All Occupations,total,402990,0.4,1000,1,17.56,36530,0.7,8.6,10.47,14.14,20.37,29.47,17890,21770,29420,42360,61300,,
47,TN,Tennessee,00-0000,All Occupations,total,2700050,0.5,1000,1,19.33,40200,0.6,8.38,10.09,14.9,22.99,34.61,17430,20980,30990,47820,71980,,
48,TX,Texas,00-0000,All Occupations,total,10913950,0.3,1000,1,21.35,44400,0.4,8.37,10.09,15.81,26.01,40.57,17420,20990,32880,54090,84390,,
49,UT,Utah,00-0000,All Occupations,total,1242690,0.9,1000,1,20.55,42740,1,8.64,10.82,16,25.25,37.22,17980,22510,33280,52510,77410,,
50,VT,Vermont,00-0000,All Occupations,total,298290,1.1,1000,1,21.18,44060,1.2,9.57,12.05,17.01,25.46,36.41,19910,25060,35380,52950,75730,,
51,VA,Virginia,00-0000,All Occupations,total,3631440,0.4,1000,1,24.1,50120,0.6,8.69,11.22,17.77,29.78,48.61,18070,23330,36960,61950,101120,,
53,WA,Washington,00-0000,All Occupations,total,2827200,0.4,1000,1,25.04,52090,1.9,9.88,12.94,19.67,31.79,46.67,20550,26920,40910,66120,97080,,
54,WV,West Virginia,00-0000,All Occupations,total,709430,0.8,1000,1,18.05,37550,0.6,8.22,9.42,13.96,22.36,32.52,17090,19600,29040,46510,67640,,
55,WI,Wisconsin,00-0000,All Occupations,total,2704840,0.6,1000,1,20.34,42310,0.4,8.62,10.91,16.32,24.91,36.03,17930,22690,33950,51820,74940,,
56,WY,Wyoming,00-0000,All Occupations,total,278910,0.9,1000,1,21.05,43770,0.6,8.98,11.97,17.79,26.73,35.8,18680,24900,36990,55600,74460,,
66,GU,Guam,00-0000,All Occupations,total,59500,1.1,1000,1,15.72,32700,2.5,7.97,8.82,12.23,18.61,28.01,16590,18350,25440,38720,58260,,
72,PR,Puerto Rico,00-0000,All Occupations,total,927460,0.5,1000,1,13.13,27310,1.1,7.82,8.43,9.51,14.84,21.95,16270,17540,19780,30870,45670,,
78,VI,Virgin Islands,00-0000,All Occupations,total,38860,2.4,1000,1,16.72,34780,1.8,8.26,9.56,13.27,20.06,29.34,17180,19890,27600,41710,61040,,
