AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
31,NE,Nebraska,00-0000,All Occupations,total,953710,0.8,1000,1,20.49,42630,0.7,8.95,11.15,16.27,24.72,36.18,18630,23190,33840,51420,75250,,
32,NV,Nevada,00-0000,All Occupations,total,1232800,0.7,1000,1,20.58,42800,0.7,8.67,10.96,16.2,24.71,37.39,18030,22800,33700,51390,77780,,
33,NH,New Hampshire,00-0000,All Occupations,total,635360,0.6,1000,1,23.42,48710,1,9.08,11.91,17.92,28.18,43.13,18880,24780,37280,58610,89710,,
34,NJ,New Jersey,00-0000,All Occupations,total,3906800,0.5,1000,1,26.42,54950,0.5,9.33,12.13,19.86,33.39,50.42,19400,25240,41320,69450,104860,,
35,NM,New Mexico,00-0000,All Occupations,total,798150,1.1,1000,1,20.76,43170,1.6,8.62,10.4,15.54,25.57,38.89,17930,21630,32320,53180,80900,,
36,NY,New York,00-0000,All Occupations,total,8984890,0.2,1000,1,27.42,57030,0.5,9.33,12.2,20,33.76,53.48,19410,25370,41600,70230,111230,,
37,NC,North Carolina,00-0000,All Occupations,total,4125070,0.2,1000,1,21.24,44170,0.4,8.52,10.54,15.91,25.05,39.18,17720,21930,33100,52100,81490,,
38,ND,North Dakota,00-0000,All Occupations,total,447820,0.9,1000,1,21.95,45660,0.7,9.7,12.97,18.35,26.61,37.12,20180,26980,38170,55350,77210,,
39,OH,Ohio,00-0000,All Occupations,total,5280850,0.5,1000,1,21.52,44750,0.5,8.9,10.91,16.84,26.62,38.29,18510,22700,35030,55380,79640,,
40,OK,Oklahoma,00-0000,All Occupations,total,1597130,0.7,1000,1,20.11,41820,0.6,8.49,10.41,15.59,23.82,36.16,17650,21650,32430,49550,75220,,
41,OR,Oregon,00-0000,All Occupations,total,1735220,0.7,1000,1,23.12,48100,1.2,9.71,11.92,17.83,28.1,42.95,20200,24790,37080,58450,89340,,
42,PA,Pennsylvania,00-0000,All Occupations,total,5709480,0.4,1000,1,22.38,46550,0.4,8.8,11.42,17.38,27.47,41.15,18310,23760,36150,57140,85590,,
44,RI,Rhode Island,00-0000,All Occupations,total,471290,0.9,1000,1,24.41,50780,1.2,9.4,12.15,18.77,30.25,45.38,19550,25260,39050,62920,94390,,
45,SC,South Carolina,00-0000,All Occupations,total,1928140,0.5,1000,1,19.51,40580,0.5,8.38,10.05,15.04,23.51,35.27,17440,20910,31280,48910,73370,,
46,SD,South Dakota,00-0000,All Occupations,total,413260,0.4,1000,1,18.66,38820,0.4,9.17,10.92,14.8,21.78,31.49,19080,22710,30780,45290,65500,,
47,TN,Tennessee,00-0000,All Occupations,total,2814230,0.5,1000,1,19.85,41300,0.5,8.49,10.41,15.3,23.66,35.64,17650,21640,31820,49210,74130,,
48,TX,Texas,00-0000,All Occupations,total,11572540,0.3,1000,1,22.38,46560,0.4,8.55,10.67,16.61,27.25,42.52,17780,22200,34550,56680,88450,,
49,UT,Utah,00-0000,All Occupations,total,1324460,0.6,1000,1,21.22,44130,0.9,8.78,11.14,16.34,25.78,38.86,18260,23170,33990,53610,80830,,
50,VT,Vermont,00-0000,All Occupations,total,303550,1,1000,1,22.15,46060,1,10.05,12.66,17.81,26.42,37.74,20900,26320,37040,54960,78510,,
51,VA,Virginia,00-0000,All Occupations,total,3682450,0.5,1000,1,24.84,51670,0.6,8.83,11.56,18.36,30.47,49.63,18360,24040,38180,63380,103220,,
53,WA,Washington,00-0000,All Occupations,total,2983930,0.5,1000,1,25.97,54010,2,10.63,13.47,20.28,32.38,48.83,22110,28020,42190,67360,101560,,
54,WV,West Virginia,00-0000,All Occupations,total,707000,0.9,1000,1,18.8,39100,0.7,8.63,9.71,14.54,23.01,33.57,17950,20200,30240,47850,69830,,
55,WI,Wisconsin,00-0000,All Occupations,total,2771600,0.5,1000,1,21.12,43930,0.5,8.75,11.26,16.88,25.82,37.34,18190,23420,35110,53710,77670,,
56,WY,Wyoming,00-0000,All Occupations,total,283830,0.6,1000,1,22.04,45850,0.5,9.19,12.43,18.41,27.76,37.42,19110,25860,38280,57740,77840,,
66,GU,Guam,00-0000,All Occupations,total,60580,1.1,1000,1,16.59,34500,2.6,8.61,9.15,12.63,19.4,29.54,17910,19020,26280,40360,61440,,
72,PR,Puerto Rico,00-0000,All Occupations,total,890760,0.5,1000,1,13.56,28190,1.1,7.86,8.47,9.61,15.27,23.19,16340,17630,20000,31770,48240,,
78,VI,Virgin Islands,00-0000,All Occupations,total,37370,2,1000,1,16.85,35050,2,8.27,9.55,13.34,20.22,29.3,17200,19860,27750,42060,60940,,
